·Ó¤ù,ºØÃş,°_ÂI(x¶b),°_ÂI(y¶b),ªø«×,¼e«×
img1001,0,1242,0,27,31
img1001,3,853,320,8,20
img1001,3,1198,538,20,16
img1001,3,184,812,17,23
img1001,3,861,321,9,19
img1001,3,1141,565,27,14
img1001,3,1191,548,12,22
img1001,0,1162,535,26,39
img1001,0,443,345,59,23
img1001,3,843,320,9,20
img1001,0,1704,69,20,22
img1001,1,225,363,63,22
img1001,0,908,407,24,39
img1001,0,141,357,30,31
img1001,0,856,368,56,16
img1001,0,1724,44,36,34
img1001,0,895,534,30,54
img1001,0,846,466,23,39
img1001,0,1108,518,27,56
img1001,0,673,400,57,23
img1001,0,1051,532,27,54
img1001,0,740,397,48,29
img1001,0,372,812,35,64
img1001,0,806,405,26,47
img1001,0,1749,40,30,30
img1001,1,1136,524,26,39
img1001,1,439,316,75,31
img1001,0,1076,522,27,57
img1001,0,409,808,36,61
img1001,0,1794,21,44,39
img1001,1,936,382,30,60
img1001,1,1215,529,26,38
img1001,0,55,567,39,58
img1001,0,855,519,39,56
img1001,0,1072,629,69,30
img1001,0,1765,33,33,34
img1001,0,236,821,42,69
img1001,0,292,811,36,65
img1001,0,1754,203,36,35
img1001,0,1829,334,42,49
img1001,0,1128,657,60,30
img1001,0,625,852,68,33
img1001,0,1380,544,56,33
img1001,0,55,566,42,58
img1001,3,96,491,20,12
img1001,3,94,502,20,11
img1001,3,99,481,21,13
img1001,1,225,364,61,22
img1001,1,443,319,73,29
img1001,0,141,359,33,32
img1001,0,442,343,56,25
img1001,3,933,77,22,13
img1001,3,862,323,10,18
img1001,3,845,323,8,18
img1001,3,853,323,9,18
img1001,0,909,409,22,38
img1001,1,936,384,23,59
img1001,0,894,536,31,52
img1001,0,847,466,22,39
img1001,0,673,399,58,25
img1001,0,443,343,56,25
img1001,0,740,398,48,31
img1001,0,857,368,54,19
img1001,0,856,521,40,53
img1001,0,807,406,26,47
img1001,3,933,77,22,14
img1001,3,844,323,8,18
img1001,3,1199,542,21,14
img1001,3,1144,564,26,15
img1001,3,1191,548,13,22
img1001,0,1164,535,24,38
img1001,0,910,409,22,38
img1001,0,846,466,22,39
img1001,0,674,399,58,25
img1001,1,938,386,28,58
img1001,1,1137,526,26,40
img1001,0,1244,0,24,31
img1001,0,1079,524,25,56
img1001,0,741,398,49,31
img1001,1,1218,532,23,36
img1001,0,1052,532,27,55
img1001,0,1108,519,27,56
img1001,0,1243,0,25,31
img1001,0,1380,547,55,30
img1001,0,1080,524,26,56
img1001,0,1702,67,23,25
img1001,0,1755,202,34,38
img1001,0,1763,35,37,34
img1001,0,1749,41,30,32
img1001,0,1796,24,42,38
img1001,0,1380,547,56,30
img1001,0,1726,45,36,34
img1001,0,1830,336,40,48
img1001,0,54,566,43,59
img1001,3,186,814,16,20
img1001,3,99,481,22,13
img1001,0,235,822,41,66
img1001,0,293,813,36,62
img1001,0,372,814,35,59
img1001,0,411,807,36,62
img1001,0,847,467,22,39
img1001,0,856,522,40,52
img1001,0,410,807,36,62
img1001,0,630,852,60,35
img1001,3,1199,541,21,14
img1001,0,1164,534,24,40
img1001,3,1191,549,13,21
img1001,3,1144,562,27,15
img1001,1,1137,525,25,41
img1001,1,1219,532,22,35
img1001,0,1079,524,25,55
img1001,0,1076,629,64,30
img1001,0,1131,660,54,27
img1001,2,1415,987,10,9
img1001,1,1218,532,23,35
img1001,0,1380,548,55,30
img1001,2,1416,987,10,9
img1001,0,1380,548,56,30
img1002,3,1355,1052,27,14
img1002,3,1057,947,15,14
img1002,2,1364,1052,12,11
img1002,2,1060,947,9,11
img1002,2,937,813,8,11
img1002,2,925,419,8,11
img1002,3,835,841,21,8
img1002,0,0,58,26,20
img1002,3,835,861,21,8
img1002,3,835,850,21,8
img1002,0,1046,624,26,47
img1002,0,65,154,29,23
img1002,2,933,784,9,12
img1002,2,968,636,12,11
img1002,3,327,934,17,26
img1002,0,1000,19,18,27
img1002,3,835,829,24,8
img1002,0,1001,53,20,30
img1002,3,831,817,24,10
img1002,3,925,414,9,22
img1002,3,931,783,11,22
img1002,3,835,728,21,11
img1002,3,935,814,9,22
img1002,3,846,766,20,18
img1002,0,956,683,26,50
img1002,0,1005,87,18,29
img1002,3,966,635,12,22
img1002,0,250,934,63,30
img1002,3,835,778,23,15
img1002,0,1029,401,24,42
img1002,0,993,610,26,50
img1002,0,999,831,30,56
img1002,0,654,928,62,30
img1002,1,898,619,20,46
img1002,0,1330,903,66,33
img1002,0,902,721,24,57
img1002,1,508,834,33,65
img1002,0,557,720,42,38
img1002,1,567,836,36,68
img1002,1,1016,453,27,49
img1002,0,607,840,27,57
img1002,0,809,879,54,65
img1002,0,960,761,26,56
img1002,3,152,0,19,9
img1002,0,65,154,29,20
img1002,0,0,61,25,18
img1002,3,924,416,11,20
img1002,0,1002,52,19,34
img1002,0,1047,625,25,14
img1002,3,924,415,11,22
img1002,0,1002,19,20,30
img1002,0,1007,88,18,31
img1002,0,1029,402,25,43
img1002,1,1016,453,28,50
img1002,1,1016,453,27,50
img1002,0,271,1068,58,12
img1002,0,177,1071,70,9
img1002,1,433,1068,72,12
img1002,0,433,1068,72,12
img1002,3,329,934,16,27
img1002,1,568,838,35,68
img1002,0,607,842,29,56
img1002,1,509,835,34,66
img1002,0,558,721,43,38
img1002,0,252,934,64,31
img1002,3,835,816,22,12
img1002,2,922,791,7,8
img1002,3,835,849,22,10
img1002,3,834,861,23,10
img1002,1,431,1068,73,12
img1002,0,432,1068,72,12
img1002,2,933,785,10,14
img1002,3,835,841,22,10
img1002,3,935,814,10,23
img1002,3,837,778,22,15
img1002,3,847,767,22,18
img1002,3,835,828,25,11
img1002,3,834,727,23,13
