EmpId,EmpShift,DeptId,Zone,DateTime,ToolScanTime,Img
EMP203,6:30,DEPT1,AZ,2023-09-11 06:33:00,0.93,AZ_20230911_EMP203
EMP217,6:30,DEPT3,AZ,2023-09-11 06:34:00,0.94,AZ_20230911_EMP217
EMP213,6:30,DEPT1,AZ,2023-09-11 06:38:00,0.93,AZ_20230911_EMP213
EMP205,6:30,DEPT3,AZ,2023-09-11 06:40:00,0.96,AZ_20230911_EMP205
EMP210,6:30,DEPT3,AZ,2023-09-11 06:42:00,0.95,AZ_20230911_EMP210
EMP206,6:30,DEPT4,AZ,2023-09-11 06:43:00,0.95,AZ_20230911_EMP206
EMP221,6:30,DEPT4,AZ,2023-09-11 06:47:00,0.96,AZ_20230911_EMP221
EMP204,6:30,DEPT4,AZ,2023-09-11 06:51:00,0.99,AZ_20230911_EMP204
EMP201,6:30,DEPT4,AZ,2023-09-11 06:52:00,0.91,AZ_20230911_EMP201
EMP211,6:30,DEPT4,AZ,2023-09-11 06:52:00,1.02,AZ_20230911_EMP211
EMP216,6:30,DEPT4,AZ,2023-09-11 06:55:00,1.0,AZ_20230911_EMP216
EMP202,6:30,DEPT1,AZ,2023-09-11 06:55:00,0.98,AZ_20230911_EMP202
EMP215,6:30,DEPT2,AZ,2023-09-11 06:56:00,0.94,AZ_20230911_EMP215
EMP219,6:30,DEPT2,AZ,2023-09-11 06:57:00,0.98,AZ_20230911_EMP219
EMP209,6:30,DEPT1,AZ,2023-09-11 06:57:00,1.0,AZ_20230911_EMP209
EMP208,6:30,DEPT2,AZ,2023-09-11 06:58:00,0.97,AZ_20230911_EMP208
EMP010,7:30,DEPT4,HQ,2023-09-11 07:31:00,0.41,HQ_20230911_EMP010
EMP013,7:30,DEPT3,HQ,2023-09-11 07:31:00,0.52,HQ_20230911_EMP013
EMP015,7:30,DEPT4,HQ,2023-09-11 07:33:00,0.44,HQ_20230911_EMP015
EMP025,7:30,DEPT2,HQ,2023-09-11 07:35:00,0.46,HQ_20230911_EMP025
EMP002,7:30,DEPT4,HQ,2023-09-11 07:35:00,0.47,HQ_20230911_EMP002
EMP016,7:30,DEPT4,HQ,2023-09-11 07:36:00,0.44,HQ_20230911_EMP016
EMP021,7:30,DEPT4,HQ,2023-09-11 07:37:00,0.42,HQ_20230911_EMP021
EMP019,7:30,DEPT2,HQ,2023-09-11 07:37:00,0.48,HQ_20230911_EMP019
EMP028,7:30,DEPT2,HQ,2023-09-11 07:39:00,0.42,HQ_20230911_EMP028
EMP006,7:30,DEPT4,HQ,2023-09-11 07:39:00,0.44,HQ_20230911_EMP006
EMP031,7:30,DEPT3,HQ,2023-09-11 07:41:00,0.38,HQ_20230911_EMP031
EMP022,7:30,DEPT4,HQ,2023-09-11 07:41:00,0.47,HQ_20230911_EMP022
EMP009,7:30,DEPT3,HQ,2023-09-11 07:42:00,0.46,HQ_20230911_EMP009
EMP026,7:30,DEPT1,HQ,2023-09-11 07:42:00,0.51,HQ_20230911_EMP026
EMP005,7:30,DEPT3,HQ,2023-09-11 07:42:00,0.47,HQ_20230911_EMP005
EMP018,7:30,DEPT4,HQ,2023-09-11 07:42:00,0.47,HQ_20230911_EMP018
EMP029,7:30,DEPT2,HQ,2023-09-11 07:44:00,0.48,HQ_20230911_EMP029
EMP004,7:30,DEPT1,HQ,2023-09-11 07:44:00,0.46,HQ_20230911_EMP004
EMP032,7:30,DEPT4,HQ,2023-09-11 07:45:00,0.51,HQ_20230911_EMP032
EMP020,7:30,DEPT4,HQ,2023-09-11 07:45:00,0.52,HQ_20230911_EMP020
EMP007,7:30,DEPT4,HQ,2023-09-11 07:46:00,0.47,HQ_20230911_EMP007
EMP003,7:30,DEPT3,HQ,2023-09-11 07:48:00,0.45,HQ_20230911_EMP003
EMP008,7:30,DEPT4,HQ,2023-09-11 07:51:00,0.51,HQ_20230911_EMP008
EMP027,7:30,DEPT4,HQ,2023-09-11 07:56:00,0.51,HQ_20230911_EMP027
EMP012,7:30,DEPT4,HQ,2023-09-11 07:57:00,0.44,HQ_20230911_EMP012
EMP261,8:30,DEPT4,AZ,2023-09-11 08:31:00,0.93,AZ_20230911_EMP261
